"","kappa","learning_bias","alpha_ck","phi","rho","ck_off","epsilon","not_pun_bonus","convergence","nll","ID"
"1",4.86122414894972,0.712914631727223,0.00909158046691908,0.182167560851457,0.988375078916886,0.659289686426128,0.0646426977615355,0.293843887607628,0,312.261805575345,1
"2",3.47325062673799,0.145305173910228,0.00524560391728198,0.130276749086228,0.849275017860115,0.293085267177688,0.0428053764421964,0.265717425672626,0,327.132048179861,2
"3",4.99999073260533,4.18864113569452e-10,0.0162360469401104,0.301614369013033,0.82504695619801,0.409048883881348,0.0183532646854602,0.260658518828332,0,175.878008313858,3
"4",4.99999997404635,0.387154636405358,0.0100826584327052,0.28273440288276,0.719214160028064,3.17579682677927e-09,0.00205907182780046,0.304836040982642,0,206.475184512663,4
"5",4.99999987195533,4.47062703086608e-07,0.0141461963029908,0.0089232296406994,0.944978382140594,2.66503480297302e-08,0.0201175724424351,0.165145255054927,0,150.079280280389,5
"6",4.00000003569668,0.138949685117282,0.00942177900791224,0.024896044879056,0.779008110399857,0.0452851234010285,0.0117041380363246,0.22323326722521,0,203.987615594451,6
"7",4.72510299125363,0.582874147453849,0.0105187805833628,0.504684506233516,0.714292190410932,4.18566885732698e-07,1.24926688064594e-08,0.240591915737215,0,258.49492143301,7
"8",4.9999999545354,0.694789069225515,0.00828169090187244,0.269178233390063,0.871545835616305,0.371790311634214,0.0216134682602616,0.309034621997477,0,253.788041352408,8
"9",3.00000034984735,0.00170995124631773,0.0150295371481652,0.191574751872577,0.897076832161014,0.00141285647192279,0.0131003017853448,0.30200443339671,0,175.102874737048,9
"10",2.99999782593181,0.70483515835108,0.0100964437614085,0.485564083321979,0.999999941177295,1.55029946542216e-07,0.00710514674273715,0.259006617303879,0,257.908789287981,10
"11",4.99620823213755,0.0178197298428255,0.00991313150578501,0.193387926238885,0.941819902176893,0.281066811985784,0.0129075899216774,0.0719808459561125,0,212.452889423454,11
"12",3.00000609581603,0.664836118984855,0.010283645142539,0.392798194191248,0.990194982541746,0.449505471259697,0.0156581039319064,0.125019997944427,0,246.273945756933,12
"13",3.99999981125796,1.45997877449582e-08,0.010949148091347,0.00260322732324816,0.665782282861879,3.5461905848581e-08,0.0137713643080124,0.174565621027277,0,181.535774562242,13
"14",4.56709879972328,0.430320302927038,0.0108448796849938,0.360652385051191,0.79748729617285,0.71313473294129,0.0147307268781434,0.333333334931818,0,315.016849555563,14
"15",2.30280530675816,0.377333739235645,0.0120115431414901,0.0805658018712984,0.902232414442793,0.369465391313891,0.031081646013806,0.335950631878577,0,253.205116075534,15
"16",4.97442300834259,0.129369873514725,0.0136907421484101,0.00346985867210078,0.691403836381366,0.193177840807198,0.019950383388551,0.343039752598278,0,204.527289510413,16
"17",4.99999992806389,0.539958772080007,0.0121240393792154,0.0260021705846321,0.720407246490243,2.80683924331518e-09,0.00829647504831449,0.121681071570074,0,172.179611529909,17
"18",4.77434220157794,0.891117918026363,0.00507604561571722,0.347466746133133,0.770181369709669,4.06773614180705e-08,0.0173514710470946,0.319225568173937,0,283.8893343982,18
"19",4.99999995452375,2.31046183050764e-09,0.0110727704201717,8.55831308934304e-08,0.910338741390628,0.105058695151238,0.0121547789217491,0.312989329952105,0,155.104988133226,19
"20",1.8728306654427,0.802461093808609,0.00471845730470423,0.184272724298178,0.860353608378076,0.682202245329953,0.092331308283701,0.218334854396893,0,386.266558987906,20
"21",3.03546772070424,0.0624728622436481,0.0137709561882236,0.424386118086939,0.899984069771849,1.89160255404289e-08,0.0592172775228873,0.324512139541234,0,243.591543229076,21
"22",4.99999984666158,0.481560332011372,0.0109338209145568,0.257009918951197,0.932454635390197,0.0315551661074943,0.0196901879962546,2.53598089796738e-08,0,161.681829632175,22
"23",4.99999989712552,6.45062601182724e-09,0.00935243945410041,0.39566922770419,0.999999944361849,1.18241300642495e-07,0.00899204548935954,0.307944037486874,0,193.472312386633,23
"24",4.99999983597452,7.94882045302243e-10,0.012826324387904,3.47863284880116e-08,0.999999983953778,0.37603375344899,0.0059521154603688,0.30736664427274,0,153.00278497689,24
"25",4.99999998374744,2.75879201062922e-09,0.01252735345489,0.000292980437677078,0.982615662124526,0.532610017087054,0.0314045705366886,0.143350993823229,0,204.105316560719,25
"26",4.99999676505555,0.958510861538643,0.00670282495940477,0.174379987845833,0.736809412832647,0.289936220011733,1.49979865755679e-09,0.299361192852351,0,267.005346597908,26
"27",3.99999922758569,0.158027595765964,0.00690081099174653,0.398104790798376,0.725051413697405,0.00741122164864926,0.0178245949736202,0.253054415259454,0,282.264441364901,27
"28",3.60343698068382,0.126871079848103,0.00730039124444458,0.616069646195578,0.936150862060761,2.60903865643629e-08,1.14891366815354e-08,0.289232909984367,0,275.33566635538,28
"29",4.99990614194042,0.0108468705106541,0.0101376124196594,0.0565023293346276,0.930416573921961,0.592349071043865,0.0287752723655898,7.95286383101295e-06,0,246.45102593142,29
"30",4.99999986295859,0.00664570443343628,0.0112946576843372,0.291193903642804,0.999999980713479,1.92198171209632e-09,0.00674985994197115,0.0505863726081503,0,134.50724528477,30
"31",4.99525052737208,0.55074403827887,0.00637881099323987,0.0659843024455016,0.792786555025418,0.234699005215522,0.0275958163622301,0.0808016500918177,0,273.206657260421,31
"32",4.99967426465013,6.24654814152759e-05,0.0193922327310237,0.200666012890861,0.894968895340597,0.572411305231671,0.0151614529605119,0.0472994635263775,0,176.070005480471,32
"33",4.99999972713655,3.52704150713146e-10,0.0181148394352031,0.327936976134759,0.948539279230874,0.563759211483463,0.0120516548174486,0.0910847817761694,0,159.918727132278,33
