"","X","kappa","learning_bias","alpha_ck","phi","rho","ck_off","epsilon","not_pun_bonus","convergence","nll","ID"
"1",1,4.86122414894972,0.712914631727223,0.00909158046691908,0.182167560851457,0.988375078916886,0.659289686426128,0.0646426977615355,0.293843887607628,0,312.261805575345,1
"2",2,3.47325062673799,0.145305173910228,0.00524560391728198,0.130276749086228,0.849275017860115,0.293085267177688,0.0428053764421964,0.265717425672626,0,327.132048179861,2
"3",3,2.91867870722665,7.82678128794097e-07,0.016440303031091,0.0331739010795448,0.992869988124771,0.365820157242873,0.0202809168660326,0.158562478131276,0,175.111476478552,3
"4",4,4.99999997404635,0.387154636405358,0.0100826584327052,0.28273440288276,0.719214160028064,3.17579682677927e-09,0.00205907182780046,0.304836040982642,0,206.475184512663,4
"5",5,4.99999987195533,4.47062703086608e-07,0.0141461963029908,0.0089232296406994,0.944978382140594,2.66503480297302e-08,0.0201175724424351,0.165145255054927,0,150.079280280389,5
"6",6,4.00000003569668,0.138949685117282,0.00942177900791224,0.024896044879056,0.779008110399857,0.0452851234010285,0.0117041380363246,0.22323326722521,0,203.987615594451,6
"7",7,4.72510754462367,0.582874131262066,0.0105187782378216,0.504684490152161,0.714292203455431,3.0919659663266e-07,1.57262062872141e-10,0.240592107740857,0,258.494920473774,7
"8",8,4.9999999545354,0.694789069225515,0.00828169090187244,0.269178233390063,0.871545835616305,0.371790311634214,0.0216134682602616,0.309034621997477,0,253.788041352408,8
"9",9,3.00000026346748,0.000371104025904055,0.015008079437503,0.195210847915026,0.900277329440611,0.000290752984816779,0.0130467881527336,0.298724877140703,0,175.081415927002,9
"10",10,2.99999782593181,0.70483515835108,0.0100964437614085,0.485564083321979,0.999999941177295,1.55029946542216e-07,0.00710514674273715,0.259006617303879,0,257.908789287981,10
"11",11,4.99923490948995,0.0179628580265891,0.00991648248552179,0.193635454374796,0.9419453030505,0.281360271658825,0.0129246032547283,0.0718800937005213,0,212.450480246109,11
"12",12,3.00000609581603,0.664836118984855,0.010283645142539,0.392798194191248,0.990194982541746,0.449505471259697,0.0156581039319064,0.125019997944427,0,246.273945756933,12
"13",13,3.99999981125796,1.45997877449582e-08,0.010949148091347,0.00260322732324816,0.665782282861879,3.5461905848581e-08,0.0137713643080124,0.174565621027277,0,181.535774562242,13
"14",14,4.56709879972328,0.430320302927038,0.0108448796849938,0.360652385051191,0.79748729617285,0.71313473294129,0.0147307268781434,0.333333334931818,0,315.016849555563,14
"15",15,2.30280530675816,0.377333739235645,0.0120115431414901,0.0805658018712984,0.902232414442793,0.369465391313891,0.031081646013806,0.335950631878577,0,253.205116075534,15
"16",16,4.97442300834259,0.129369873514725,0.0136907421484101,0.00346985867210078,0.691403836381366,0.193177840807198,0.019950383388551,0.343039752598278,0,204.527289510413,16
"17",17,3.65490805624517,0.408858469478366,0.0126533172303621,0.121012193284994,0.838508324072763,0.0335642626273458,0.00898646646826235,0.0649485382218433,0,171.490074388455,17
"18",18,4.77434091570662,0.891118214249413,0.00507604515798135,0.347466710659448,0.770181424612846,3.03496393564301e-08,0.0173514697952215,0.319225573767549,0,283.889334384726,18
"19",19,4.99999993716396,7.25715531690899e-09,0.0110727702876724,2.67006393392914e-08,0.910338739373424,0.105058680503991,0.0121547787698096,0.312989334087255,0,155.104988114322,19
"20",20,1.8728306654427,0.802461093808609,0.00471845730470423,0.184272724298178,0.860353608378076,0.682202245329953,0.092331308283701,0.218334854396893,0,386.266558987906,20
"21",21,3.03546772070424,0.0624728622436481,0.0137709561882236,0.424386118086939,0.899984069771849,1.89160255404289e-08,0.0592172775228873,0.324512139541234,0,243.591543229076,21
"22",22,4.9999999194076,0.481560143301242,0.0109338199597621,0.257009913137211,0.932454622378824,0.0315550137842025,0.0196901864504556,8.75578772185087e-09,0,161.681829571802,22
"23",23,4.99999995778222,2.64516758775058e-09,0.00935243900435926,0.395669224993294,0.999999938170343,7.27966807448441e-08,0.0089920448908752,0.307944036055256,0,193.472312274457,23
"24",24,4.99999983597452,7.94882045302243e-10,0.012826324387904,3.47863284880116e-08,0.999999983953778,0.37603375344899,0.0059521154603688,0.30736664427274,0,153.00278497689,24
"25",25,4.99999998374744,2.75879201062922e-09,0.01252735345489,0.000292980437677078,0.982615662124526,0.532610017087054,0.0314045705366886,0.143350993823229,0,204.105316560719,25
"26",26,3.99999993869493,0.913148433591151,0.00686568304426477,0.55713337411507,0.997104136693488,0.0283811065420332,0.000201270056610949,0.27382831085235,0,265.463732917786,26
"27",27,3.99999922758569,0.158027595765964,0.00690081099174653,0.398104790798376,0.725051413697405,0.00741122164864926,0.0178245949736202,0.253054415259454,0,282.264441364901,27
"28",28,3.60343821937112,0.126870949488503,0.00730039091608413,0.61606959560283,0.936150792006208,1.1675410506694e-08,4.01003175075313e-09,0.289232983194258,0,275.335666292073,28
"29",29,4.99990614194042,0.0108468705106541,0.0101376124196594,0.0565023293346276,0.930416573921961,0.592349071043865,0.0287752723655898,7.95286383101295e-06,0,246.45102593142,29
"30",30,4.99999986295859,0.00664570443343628,0.0112946576843372,0.291193903642804,0.999999980713479,1.92198171209632e-09,0.00674985994197115,0.0505863726081503,0,134.50724528477,30
"31",31,4.99987475473887,0.548607085095309,0.00633977520028129,0.0449374501837128,0.793811979387828,0.224332252610413,0.0278792706095429,0.0905919419608053,0,273.201049428651,31
"32",32,4.99996928063,1.20796095574787e-07,0.0193935078928031,0.20066560427831,0.894870576318469,0.572462549549072,0.0151409315300028,0.0472995488692018,0,176.069435067779,32
"33",33,4.99999981742798,9.9463383420447e-10,0.0181148402427602,0.327936952285508,0.948539363762915,0.563759269003713,0.012051655344583,0.0910844116029796,0,159.91872709168,33
"34",34,4.99999846967943,7.67163167183805e-07,0.014046665675881,0.100426158156027,0.932866419466826,0.295281616906101,0.00886415859704945,0.123570075490449,0,152.240140294058,34
